,User_name,Mention_name,Type
408,Surreal_CARS,Surreal_CARS,Tweet
409,autopartlinker,autopartlinker,Tweet
410,Gericia,FiExhaust,RT
411,ViskerDottie,ViskerDottie,Tweet
412,911_Mag,911_Mag,Tweet
413,IconicCarColl,IconicCarColl,Tweet
414,whatcar,whatcar,Tweet
415,TanisSullivan,TanisSullivan,Tweet
416,krafthopper,krafthopper,Tweet
417,ada_paul23,ada_paul23,Tweet
418,TObikwere,_alonethoughts_,Tweet
419,autocarmove,autocarmove,Tweet
420,ExplorationsUn1,ExplorationsUn1,Tweet
421,RealNaijaGuy,_alonethoughts_,Tweet
422,KarmaVancouver,KarmaVancouver,Tweet
423,UAEClassicCars,UAEClassicCars,Tweet
424,LavishLifesty15,LavishLifesty15,Tweet
425,vipgroupchris,vipgroupchris,Tweet
426,autocarmove,autocarmove,Tweet
427,911_Mag,911_Mag,Tweet
428,monarch_ent,monarch_ent,Tweet
429,catford_se6,Rushmores_Cars,RT
430,ada_paul23,ada_paul23,Tweet
431,UKCarLease,contractcars,RT
432,sportsjim,sportsjim,Tweet
433,Reg_Spotter,Reg_Spotter,Tweet
434,streetsupercars,streetsupercars,Tweet
435,LamborghiniCLT,LamborghiniCLT,Tweet
436,RacerMecahinc,RacerMecahinc,Tweet
437,AlasdairBusby,BroomhallHouse,RT
438,IndustryMag,MaseratiCNJ,Tweet
439,Volvopassion_fr,Volvopassion_fr,Tweet
440,autocarmove,parklaneukltd,Tweet
441,autoview,Toyota,Tweet
442,JuliusM54109176,JuliusM54109176,Tweet
443,contractcars,contractcars,Tweet
444,Gibranbharucha,Gibranbharucha,Tweet
445,knowledgelover1,TheFuturist007,RT
446,ada_paul23,ada_paul23,Tweet
447,TheLuxuryOFC,TheLuxuryOFC,Tweet
448,CRASHJewelry,CRASHJewelry,Tweet
449,Vignali123,Graypaul_Eburgh,RT
450,VirtualizedCars,VirtualizedCars,Tweet
451,Gericia,FiExhaust,RT
452,LCclassics,LCclassics,Tweet
453,Guillefilmus,Guillefilmus,Tweet
